,damaging,edit count,edits.6.months,goodfaith,name,registration,revision id,revision time,user id,wiki
0,0.4466650029411054,3,3,0.7107814210114614,b'Odval Aparecido Bertolassi',2017-11-27 18:15:32,50601267,2017-11-27 19:18:43,2024269,pt
1,0.3959227087995349,3,3,0.6566048023205405,b'Odval Aparecido Bertolassi',2017-11-27 18:15:32,50601333,2017-11-27 19:26:28,2024269,pt
2,0.42849088384938017,3,3,0.7894768689669596,b'Odval Aparecido Bertolassi',2017-11-27 18:15:32,50609000,2017-11-28 15:46:37,2024269,pt
3,0.4026710973367688,1,1,0.8181604571529218,b'Lucas bernaldo',2017-11-29 02:49:48,50615678,2017-11-29 02:55:34,2024896,pt
4,0.052905872086053365,1,1,0.9683755399941711,b'Garciacjao',2017-11-12 02:28:23,51265349,2018-02-13 17:50:42,2017981,pt
5,0.3728175431694315,20,20,0.7380517060140689,b'Larissamesko',2017-11-18 16:49:49,50513057,2017-11-18 16:55:12,2020658,pt
6,0.29825847135095485,20,20,0.8434465694510863,b'Larissamesko',2017-11-18 16:49:49,50513104,2017-11-18 17:01:59,2020658,pt
7,0.25065593705706574,20,20,0.7835964801868417,b'Larissamesko',2017-11-18 16:49:49,50513148,2017-11-18 17:10:17,2020658,pt
8,0.2978340015325798,20,20,0.8082325401581917,b'Larissamesko',2017-11-18 16:49:49,50513162,2017-11-18 17:12:38,2020658,pt
9,0.09701358589949063,20,20,0.9513325769145234,b'Larissamesko',2017-11-18 16:49:49,50514601,2017-11-18 20:10:06,2020658,pt
10,na,20,20,na,b'Larissamesko',2017-11-18 16:49:49,50514617,2017-11-18 20:11:18,2020658,pt
11,na,20,20,na,b'Larissamesko',2017-11-18 16:49:49,50514619,2017-11-18 20:11:40,2020658,pt
12,na,20,20,na,b'Larissamesko',2017-11-18 16:49:49,50514686,2017-11-18 20:17:18,2020658,pt
13,na,20,20,na,b'Larissamesko',2017-11-18 16:49:49,50514755,2017-11-18 20:23:23,2020658,pt
