"","Control","Altruism","Competition","Max Distance"
"1","Jaber24","13tainonge","Spensnook",0
"2","Mweufika","6m2falcon","MUSINGUZI JAMIL",0
"3","Namssy","Slimdesert","Aassoum.mehdi",0
"4","FaauBenin","Abby Wendle","Marie Barbara",0
"5","Abdelrahman75","Hassan Dadi","Vrinda Khushu",0
"6","Abdelwahab-ensa","MURHABAZIJULES","Dons Coetzee",0
"7","Abdiimalikhajir","Singhira","Fquasie",0
"8","Marius Brand","ABDOULWAHABDIAK","Akalutia",0
"9","ABDUL LALA","SarahEssbai","Oussama azera",0
"10","Hajarehalim","Abdul Marz","Buchwithlenses",0
"11","Nizar Barrak","Abdulrahman Mohammed 44","Moussa Kalapo",0
"12","Sharibeast","Jane Zimmermann","Abiddesta",0
"13","Natalie barsacq","Chidinma0025","Abubakartz",0
"14","Owaemmanuel","ACampbell79","Phemmzyleon",0
"15","AchulikeAmadi","Fiderana116","Tapiwa Makaya",0
"16","NoahElhardt","ADAMSS","Biloumar",0
"17","Adelbayoumi","ADAMTHIERO","Selasie afi",0
"18","Rediet123","Darlynx","Adavido",0
"19","Addiaba","Anthonynjau92","Manu davidson",0
"20","OBankz","Justine2703","Adebayo.owolabz",0
"21","Shafibharwana","Adebiyi adedoyin","Omartadj",0
"22","Purvango","AdenijiAO","PHILIP ASEDRI DRADRIO",0
"23","Arefsnoopy325","Aderhzhien","Minibixx",0
"24","DestructorX04","Kaniarujohn","Adhipoe",0
"25","Adinmas","Unique koncept","Diva4ril",0
"26","Baanaaboi","Afrikkanita","Uhuru Njau",0
"27","Boukoucha Oualid","Mohamed-mohsin12","Agentofauty",0
"28","Amine-hasan","Ahmad al shamy","Ancila5574",0
"29","Ahmadubakori","Shaddyro","Techednig",0
"30","Ahmedabokhalil260","Lahry","Dalizzo",0
"31","Ahmed Ahmed Bakr","Solaogedengbe","Ratio199",0
"32","Ahmed Esmat","Asseel007","Eyanitasha13",0
"33","Crowdthem","Ahmed Kamal Arafa","Xkulboi",0
"34","Alusinejrkamara","Ahmedkishki","Fatherfab",0
"35","AhmedMahgoub(The Photographer)","CharlieTebbutt","Gbemile",0
"36","Saara88","Sonah007","Ahmednasser101",0
"37","Aishawanjirumugo","Alagbakomi","ToriOn aw",0
"38","AdrianMichaelO","Ajibola Fasola","PawełMM",0
"39","Berbeture","Ajisafe Victor","Iristhiesen",0
"40","Tptanyara","Addytn","AKasera",0
"41","Maamoun.mnw","Mofe iv","Akata Jerry",0
"42","Akinladerotimi","NabilNadifi","Katiaquenum",0
