"","Control","Altruism","Competition","Max Distance"
"1","Val59","7amosatv","Dalel omri",0
"2","Abdifatah7","AFRICAN BOY","Andy tojonirina",0
"3","Lindani46664","Shyqo","Abdrahman elouanzi",0
"4","Baloo.Togo","Iamrobotboy","Abdullahmkh",0
"5","Abel999","Maxari","Wangarikimmie",0
"6","Gazozo","Ibrahim.ID","Abel Asrat",0
"7","Tomioki","Mikandrew18","ACEMOG",0
"8","Adanayla","Jakony","D Malesi",0
"9","Nasimanilsen25","Count Zugu","Aday09a",0
"10","Adeyanju adewunmi","Chaimae sebti","Diarie",0
"11","Adil akrim","Ijeoma","Mcdavesyaw",0
"12","Omuterema","Virgil Stockwell","Adil Dahani",0
"13","Kasomo chaila","Adolisa101","Temesgen Eyasu",0
"14","Dawityirga","Africi","Wachira",0
"15","Afriqianos","Thepetermorgan","Hoodstarr'",0
"16","Babacrash","Hotaadil","Afrodijo",0
"17","Afrofoodie","Ahchmi77","OKWI SAMUEL",0
"18","Al Amine01","Takeaway","Mimi mimou",0
"19","MarieroseNN","Tewodroswondimu","Aliboughzala",0
"20","Suleiman213","Alicepegie","Daring Innovator",0
"21","Mayalabeil75","Aliyu Aminu Ahmed","Joel ace",0
"22","Alshamiolaishalzain","Assipolo","Nad marci",0
"23","Likikouet Raïssa","Alweaver2","KONE SEYDOU KS",0
"24","Amr mowafy","Islahaddow","Justdifference",0
"25","Jburgos~commonswiki","Lilly Almeida","Ángeles Jurado",0
"26","Richardmwaikambo","Angloha","Eb0la",0
"27","Antje He","Dhouha BOUSSALEM","Afeleus",0
"28","Ara.nashera","Lonaoui-a","Joannekinginaddis",0
"29","Omubia","Arewa Traditional kitchen","HPADIA",0
"30","Lichinga-niassa","Wasswajimmy","Arfaan ke",0
"31","Mani225","Tsemosandrine","Artemisthe1st",0
"32","YEFULKAY","Nanciekathini","Ashunia",0
"33","Madin Adam663","Kalagala","Asliyassin",0
"34","Ombui","Goodluck183","Assafi20",0
"35","Repoge","Ifeoma Dan Nwude","Atigh.b",0
"36","Attiem","Cobbyshy","Mariel.cg",0
"37","Sandeepbaliyan1983","AyyOUb","Viruzlex",0
"38","Bakharles","699Taha","Ronica",0
"39","Nkuame","Mfon Edet","Bastapak",0
"40","Safa diaa","Nabulomi","Bbfa2",0
"41","Andres.castelblanco","Bellaryl","Nibra91",0
"42","Cikumugambi","BELOVEDJOHN","Bbaale~commonswiki",0
"43","Abelzemichael","Bigpappus","Vicmwafu",0
"44","Mustapha 42","Bikeko","Stasia007",0
"45","Egbuchu","Kooxda Hillaac","Binyam Tsegaye",0
"46","Jordan808","Birigy","Mari7a",0
"47","Ethio~commonswiki","Bisratwiki","Cookbychoice",0
