"","Control","Altruism","Competition","Max Distance"
"48","Msalaba MEDIA","Company Kit","Blackben344gh",0
"49","Blazkii","Sarasmaali","Bswitaba",0
"50","Jerrybenson77","Bli","PhoTom",0
"51","Bnnsz384","Biltongsa1","GNINAHOPHIN",0
"52","Bouhezam Mohamed Amine","Ahmed.elgamala","Kimemia Maina",0
"53","Break1515","Ayoteck001","Malk sash",0
"54","Kelder","Yanosa1","Breeclarke",0
"55","StyloBaidu","Bridmon068","Taliska~dewiki",0
"56","SHIROBALEW","Bright.adomako","Djenebatoure",0
"57","Mr. kilosh","Camille26901","AnouarNACH",0
"58","Ccmpg","Yohannes Bogale","Vernon kidrop5",0
"59","Gaynm","Chacha.madison","Ourmaninafrica",0
"60","Maru sisay","Charleschami","Weirdnibbles",0
"61","Lovely r","Charlotte Terrier","Gani ray",0
"62","Thznguya","Ola osama","Chima",0
"63","Anita Amalor","Chisato~commonswiki","Beezton",0
"64","Cleverfox2005","Milo Ademassu","Neftyzo",0
"65","CuisineRene","Smilebocy","Freepius",0
"66","Daniel.mbau","Capibar","Alcyone15",0
"67","Bdiaug","Kanchanadiss","Davelalat",0
"68","David17101944","GTaliska","Mis3009",0
"69","Annabelle.Joseph","David Louw","Melaad2009",0
"70","Oneqaz","Butra12","Dbilakovic",0
"71","Donaldepig","Denniss","Essohanna",0
"72","Dexxenj","Midos hisham","Ayman Hussein92",0
"73","Dinapriv","AmelGhouila","AbdoDB",0
"74","Insta sm gram","Vale287","Djoyusef",0
"75","Dokoran","FOODIEAFRICAN","Laffourtiere",0
"76","Dormeroom1","Kakoozaivan","Smugisa3",0
"77","Cpgeoujda","Saviour1232","Dr.abdiweli mohamed nur",0
"78","Honeybee5512","Duniasikuzote","Auzius",0
"79","Dursa Dure","Pyroclypse","BAKER SERUNJOJI",0
"80","Economist00000","LIKMANN","Rgaudin",0
"81","Trishgayton","Annisa rose georgia","Eevone11",0
"82","KALALI SIMON PETERKINTOSH","Yuh Nakajima","Ellen.Jedida",0
"83","Enock4seth","Romaissaroro","La Chimère",0
"84","Kasenga","Erolzaog","CharlesCurtisB",0
"85","Fabricehouessou","Coco lago","Zs6hz",0
"86","O.muhammad.b","Farias renata","Nany D",0
"87","Vjohnoo7","Fatoufall18","KingMalek1",0
"88","Fatoumata Gogo","Oorna.M","Juliusbruno",0
"89","Thomasnalem","FauconLanto","Minilza73",0
"90","FelicityFeinman","Mirsal~commonswiki","Xzwa104080",0
"91","Apostrophekola-real","Fgsat3","Eluukoo",0
"92","Lepedago","General lee cartman","Saturainvincent",0
"93","Myheartbits","Mvuli-Girl","Gerhard302",0
"94","Nkay~commonswiki","Ghizwa","Awethubarry",0
"95","Gigipegapicha","DALIBAK","Dede Elfeky",0
"96","Mochtarhan","Khalil807","Gillian Zouzoukov",0
"97","Darmilli","Go2africa","Adamestica",0
"98","Dmkwela","Hader Farghaly","Ndaibrahim",0
"99","Fisayoalo","Hamza medkour","Funmiayaoba",0
"100","Janney~commonswiki","Harmon Okinyo","Amber rua",0
"101","Nizarus","Bobbyshabangu","Hassanlaarabi",0
"102","Hmramdan","Ptyx","Iminzasandra",0
"103","Hosary","Steve wasilwa","HaydenTWilson",0
"104","Obirisol","Deedarling","Houda tabet",0
"105","Nkongo~commonswiki","Yussuf~commonswiki","H-snap",0
"106","Segunfamisa","Willyxw","Hussein el akaber",0
"107","PrincessChaai","Thomas Erwin von Arx","Hussein.gd",0
"108","Cleopas","Hycinth Iyereosa","Omar karroumi",0
"109","Billyjeanjane","Kojodee","Iasalarzai",0
"110","Sabrakouka","Aidinoble","Ida.fahd",0
"111","Yoyinsola","Francis Kaswahili","Ikram saber",0
"112","Mutungadavid","Kan2ron","Imane maroc",0
"113","Ingolenz","Mayssabrahem","Abkadiri2001",0
"114","KIRAT Djamel eddine","Isabelle Christiane","ConstanceThyanga2",0
"115","Aneledeysel","ISMAEL ASSILLI","JoeNyams",0
"116","Wsduho","Isma Morocco","Liliane.logbo",0
"117","Jaxkin","Ibellamine","Greathope1991",0
"118","Jbreman","Doreenatwiine","بن لعبيدي",0
"119","Jeanot","Kanda Noru","Ajocom",0
"120","Jk-1987","Osaefe","Amakaskj",0
"121","Dawit.dagnew","حمزة حسان","Joe.wanjohi",0
"122","Alangde","Melhalla","Joey Nabukeera",0
"123","Kadopumpin","Nkoboli","Johnerick89",0
"124","Showshow777","Julietholy","Little.l0st.r0b0t",0
"125","Femalekingkush","Dr. Ghirmay Andemichael","JustYosai",0
"126","Kallacha","Khisajob","Musisifrancis",0
"127","V.Ballou","Gushadumi","Kamland",0
"128","Kaykelechi","Fathiibrahim","Makatiola",0
"129","Kiarasanchez12","Salad mouad","Chawki Zdeldel",0
"130","Bonita.matthee","Kimtonga","Khadidja sed",0
"131","Typearls","Joseph Julius","Kinesira",0
"132","Mercenaryxxx","YusifSeidu","King of the Grasshoppers",0
"133","Kinja Kariuki","4littlewords","DunstanChad",0
"134","Jidus1","Kodingo","Wasswa muhamadi",0
"135","Krugen","Mojtba moawia","Moe Zain",0
"136","Fishfinger mey","Descamps","Kungu01",0
"137","Khady70","Kutikavu","AnnaJB",0
"138","Labdoui.pedro","Kemkem french","Havi Murungi",0
"139","Phjwi2","Pedro Teu","Latifama",0
"140","Sacsooo","Lenini lang","Tesfayebelaynesh",0
"141","Pattidaps","Zinou2go","Leul Eth",0
"142","Ling Symon","Reg929","Jaymuiaphotography",0
"143","نبيل تيهي","Lochefaicha","Jimmy Chaula",0
"144","Pempipie","Sanix","Ludger001",0
"145","Jayquins","Maamenyanebah","Amir Anthoni 22",0
"146","Madunanoma","Aya youya1998","Wafyyy",0
"147","Raiurd walter","Maggie Tracy Wanyenze","Mugisha.E",0
"148","Djihad Amine","Florenceabedi","Mahmouding43",0
"149","Shamy Junior","Rrifatra","Makda Asrat",0
"150","KuraMyasoFarsh","Manshoti","P.thapa57",0
"151","Leon sandeep","Mohamedabualgait","Mariem tunisienne",0
"152","Edem228","Matthz51","Sebastian Wallroth",0
"153","Meria z Geoian","Ttnghoshi","Mcokakafr",0
"154","Elns","Megillionvoices","Cptguy",0
"155","Azizfadil","Andbandawe","Megonda",0
"156","MELEDJE ELIAM CLOTAIRE","Mohamed Amine Aouina","Mowray",0
"157","Samirra amal","Meriemou","Mohamad Radwan",0
"158","Moncef01","Meryam zenagui","Omobaj12",0
"159","Mia1967","Drkevwe","LifeinMombasa",0
"160","Erich.alder.herisau","Misosi","Mboniyavijana",0
"161","Lskrew","Missbeniz","Hoppy T",0
"162","Proteas","1qfoodplatter","MivanHoward",0
"163","Mkevy","PETER LUNGILE CHIDOTHE","Leturk",0
"164","Projazzfunkguitar","Mo7ellayali","Benjizze",0
"165","Mdegale","Batoueu arnaud constantin","Mohamed Moussa",0
"166","Mohanad5ayman","Khammal92","Sahki rami",0
"167","IrinaAfrica","Mohatatou","EKK Events",0
"168","Morenawarona","Mubiaobed","Calvex225",0
"169","Mouna.chicha","Yayatoo","Dr.Kerollos",0
"170","Mails4mjay","Salma oh","Msnjie",0
"171","Berha","Aleph500Adam","Muhammad.I.Abdrabbo",0
"172","PetarM","Muntaka1","Alfateh2005",0
"173","Nyasha l guzha","Temidayotinypoet","Mwakyusa",0
"174","Mwenjew","TimCowley","Sammari ons",0
"175","Tobilola","Mohamed ben ali tatawi","Mwjjdns",0
"176","Nahom","Semevobenin","Lghazaouivlad",0
"177","Nalutaaya margret","RiadhBH","Stormbul",0
"178","Fabenox","Nangonzi Evelyn","Mwaride",0
"179","Napendakukula","Aleftrightupdowng","Ossewa",0
"180","Lohlstein","Narcissesb","Saadyyousef",0
"181","Liyaan41","HarounBaba","Naser khanafeer",0
"182","Jnasejje","Ngesosarah","Joseph.kla",0
"183","Nonijaz","Okache Ruthie","محمد علي اسحاق",0
"184","Nne75","Noory Taha","Blackmapapa",0
"185","IQB2","Rahamatali.step","NPHULPIN",0
"186","Obed Asiedu","Iamlelaw","Lornajulia",0
"187","Olajide.TV","Isaacvysions","M Manyere",0
"188","Omarfarouc","Afdal22","Zizounyc",0
"189","Abjheff","Orisetsonaye","Kalpita.chakrabortty",0
"190","Turajski~commonswiki","Stephanie ojadi","Osman alzataf",0
"191","Bayiga Francis","Ochyengomondi","Otwemakenzy",0
"192","Keithk","Nimbah","Palesalepheana",0
"193","Patricia katusiime","Fgebriel","Malawimelody",0
"194","Patrickjika","Atotee","Ayoub.miroch",0
"195","Paul Masua","Patsrikanth","Deemayjee",0
"196","Aouil01","Tiharihondijo Dickens","PAUL DUVAL",0
"197","Graph18","Pedro Pombal Viegas","Keith Kachikira",0
"198","UMarooB","Pepitaux","Samuel Smart",0
"199","Lucyin","Phazipotash","Andiwa Dixon",0
"200","Pietersielie(PC)","Lydia lili","Kihara wa kigo",0
"201","Inayity","NahidaEsmail","Ragibian",0
"202","Anthoniafesu","Rashoya","Enviromind",0
"203","Resto Show 4Business RS4B","Jforauer","Seedeblay",0
"204","Irakay","Jeo'Obasesam","Saher.tarek",0
"205","Lisa Prissy Mwanza","Mimi onwusah","Saifkapasi",0
"206","Guet","Saji6896","Karelle Vignon",0
"207","Sakina89","Sayhi2kojotutu","Champtz",0
"208","Tontonfranky","Marckandy","Salone titi",0
"209","Atimukoh","Culey","Sarakats",0
"210","Sandy maistry","Fimalisa","Sere bites",0
"211","MuwanguziDaniel","SeyiAlao","MaarirAbde",0
"212","B82mo","ShadohWalker","Kerigo",0
"213","Perfectsolo","Shiefrallo","Mmatiashe",0
"214","Profnkoro","Baebinaa","Shikungigi",0
"215","Xurant","Wiki teshager","Siddiqueblue",0
"216","Chief kairu","Kouame javert","Siegfried.kitching",0
"217","Khushanand bheenick","Sihem SALHI","Masaichris",0
"218","Kjdhambuza","SpiderMum","Shereen Mmakola",0
"219","Spottedviper","Zouhir","Ndungukamau",0
"220","Chabisto","Ssebulime frank","Paul Tagoe",0
"221","Mewaketgueu","Susan Nabbumba","Adjeiwaa.ella",0
"222","Urs-schneider","Really junior","Taye Nwosu",0
"223","Tcg1111","Lamahks88","E4snave",0
"224","Edja murielle","TessCook57","Rokya",0
"225","ZRAFIQA","Themohma","Ivanvant",0
"226","Tibou Lahcen","Simoariri1","ManfaMorocco",0
"227","Kirabo marion","Tob.houston","PrestigiousSwazi",0
"228","Josemythomas","Tru9ja","Thomas Taimu",0
"229","فراشة بيضاء","Tsiry El-y","Martadellalibera",0
"230","TunisiePassion","Craigfraser","Banane ivoirienne",0
"231","Tyavn","RUEY","Daniel nabimanya",0
"232","Ucefkhc","محمد بوعلام عصامي","HalwaStudio",0
"233","Tawil81","Wakoridehe","Pequod76",0
"234","Nedjamez","Fightallignorance","Wasssimos2014",0
"235","Nke Valentine Yong","McGeddon","Weddou",0
"236","Wesleympillay17","ChukaMadu","Npvw",0
"237","Mukuba","Luchywally","Wolfdrive",0
"238","Girmaytilahun","Chrstphr.jones","Xtacywura",0
"239","Yannily11","James vaio","Yassineraghid",0
"240","Hagar Hosny","Fzlaissi","Yasser ahmed1",0
"241","Vickyndende","Yeshan","Titilayodeji13",0
"242","Muhammad Abul-Futooh","Yjohny","Paulcellard",0
"243","Yonihahasis","Aleerro","Asmaader",0
"244","Bobbynicholson23","Kazim M. Ladak","Youssefnejjari",0
"245","Folababa~commonswiki","Zaracooks","Giladho00",0
"246","Vmaina104","Issra monir","Zelligetraditionnel",0
"247","الرفيع الريح","Simz711","Buckdray",0
"248","Segawa Ephraim","Sonia Mulumba","خالد البار",0
"249","Rach151","Pecoz","سفيان احمد ميلود",0
"250","كريم اسوك","Rokie7","Zil",0
"251","Soufiane98","محمداني","Chroland",0
"252","Nshimyealex","وقع المطر","Hassan Osman Hassoon",0
"253","Ebrié Assagou","Mandanye","Herweleke",0.03300584
"254","CAMILLE COYE","Jnjungei","KIMUTEMERO",0.03300584
"255","Namuganyi","Lukoshiute","Gilbertlangat",0.03300584
"256","Kunalk278","Kabuga Wambugu","Madbmd",0.03300584
"257","MBABALI DENIS JORUM","Nyuchz","Minarate",0.03300584
"258","Wnawara","Jennife Nannungi","Jostbrain",0.03300584
"259","M wassim salah","Lucinda jolly","Olivdediego",0.09901752
"260","Yemisi Ogbe","Reem Al-Kashif","Bonnahjnr",0.09901752
"261","Fatima zahra Charif Khalifi","Wajih Khalfallah","Itsmrchacha",0.13202337
"262","Zak Le Messager","Nanakumigh","Antoshananarivo",0.19803505
"263","Denniz Bitz","Abissada","Oludafa",0.26404673
"264","Aboukam","DromoTetteh","Piki-photow",0.7921402
"265","CoralBrowne","Rasheed hamis","GagamaGoo Kinene M.b",0.85815188
"266","Cyriac Gbogou","KaoutherBed","Hanay",5.2479288
