"","Control","Altruism","Competition","Max Distance"
"108","Bilal boukaoud","Jr levo","Salah hamad",0
"109","Toumaba","Justicefromafrica","Piet Makwas",0
"110","Merve mashaly","Christine Nyaruiru","Kaouter.rdi",0
"111","Andrew Owuor","Tariq90","Kebel",0
"112","Jotham wambi","Kerminaheneinwely","Osamuyi.okpame",0
"113","Esther Neema","Beljohn Dean","Kevanrules",0
"114","Bersamo","Libertyking","Khawlanada",0
"115","AsmaNasri","KhemmarAMINE","Page Tsewinor",0
"116","Jdannybites","C.hakim93","Kherdioui",0
"117","Miss Lindsey Abudei","Kokofrs","Casey.lugada",0
"118","Timlamec","Manuel Fuca","Kolafunmi",0
"119","Nourhan Moubarak","Drinkup23","Krys g",0
"120","EllyGee","BeghdadiWalid","Kuraruelijah",0
"121","Robert Gumba","Nivademdembele","Landry KINKPE",0
"122","Mustafaelnooby","طه ابوالحجاج عبدالحليم","Lendyll",0
"123","Lijiazhen","Kingstarzy","Kdebrah",0
"124","Moahamd1","Lucasjoal","Makarius mlyakado",0
"125","Ludovico86","Jamieleematthews","Nizar Louhichi",0
"126","Osboy2","Lujejo","Effsamuel3",0
"127","Mabjwang","Tzb8060","Jada asmaa",0
"128","MacDonald Nyirenda","John utok","Eseharrison",0
"129","Kalvince Otieno","Jack273","Mahwarda",0
"130","Maina George Mucheru","Abdelrahman refat","Jeff patient",0
"131","Alexamanuel9","Nairobiphoet","M.Alameer",0
"132","Appiahjezreel","Malante","Orbitrasen",0
"133","Manu321","Dasphat","James Mjoli",0
"134","Maphalala","MsaniiMoja","Mr-Abdo",0
"135","Mathaz","Darescot","Ayoubag",0
"136","FraWanMalE","Mayada Marrom","Mehdighizlany",0
"137","Nate Chituti","Benzita","MBATAKA",0
"138","Med Nour Mahdi","Abir Kamel","Terre12",0
"139","Samehshawky","OLordson","Medo kahla",0
"140","Menyea","Aty Jorbes","Dahbi youssef",0
"141","Meredithdevoe","Deogratiusf2","Gxmania",0
"142","Meshackbartplange","Kenguinaud","Yasseralghol",0
"143","Jessica Rabemananjara","Mezemir","Kawtar yagoubi",0
"144","Bophelo dimapo","AUGUSTINE KIAGO","Miez 01",0
"145","Charles Mpiana","Rmall253","Mjemma18",0
"146","AlfredAndiva","Mjikou.zakaria","Bibliopp",0
"147","Just1gift","Mohamed 2016","Mahjoub El Houssaini",0
"148","Don.Nagy","Mohamed ali khaan","Ibrasky",0
"149","Hamijuma","Daria2907","Mosbachawiki",0
"150","Twomw","MSBAHY","Gildasdoba",0
"151","Muhammad Kabo","Johntez","Githithudanjsef",0
"152","Philipsakwari","R dfawn","Murah Andrialalaina Florlys",0
"153","Abdellah taib","Shakila Hamisi Mpomo","Mustapha Adr",0
"154","Nadir-houboub","Babyspagetti1","SIMIVIJAY",0
"155","Naima aguous","Njialege","Mplanetech",0
"156","Ebrahim mhdy","Nanettedani","Ainayaris",0
"157","Rania.h6","Llalenoh","Nduza",0
"158","Nermineenab","At2106","Mansour mohsen",0
"159","Nick.ngatia","Iyasser278","Hoenderpoef",0
"160","NICPA","Dellark18","Kitah K",0
"161","Nihilistx","JAMES HEUREUX","Olubunmi1",0
"162","Nkwelle Clinton Itoe","Lifeofqobby","Erick christopher",0
"163","Senikoomerga","Nonso001","Larbi.Afoutni",0
"164","Madou Daban","Nouha staili","Omayma Elouattab",0
"165","Rough shizo","Godseyez","Nsikan Ikpe",0
"166","Hassanelsayad","Kwabenaasomaning","Nyakairuj",0
"167","Mouadmoutaoukil","OGELE","Ahmedkhaled610",0
"168","Morycee","Okpor Leonard","Stevevi",0
"169","WangaripatrickKE","Osho ridwan","Gwamaka Charles",0
"170","Irrelevantcontent","Nogieru","Otegawhitley",0
"171","Jimola","OthmanELBOUNI","Bassilois",0
"172","Mohamed elsayed sheta","Jwamuyu","Owesoweshi",0
"173","Maxtashley","Rumuli","PaulGovender",0
"174","Pepita Krystal","Sam Dre","Mayafthecool",0
"175","Alex Epoh","PressON","Qweshypedia",0
"176","Ransome jr","Laban omondi","Ebameful",0
"177","Edithsme","Rayleigh21","Irenefedrigo",0
"178","Mm musana","Rex41e","Bukkystars01",0
"179","Ayoubgbibar","RMO GANG","Islamkamouh",0
"180","Sabore","Psu.bridget","Badrdjemoui",0
"181","Lidhuwa","SaintKwame","Hassan892",0
"182","Dibyking","WhatisKirbydoing","SaraElborei",0
"183","Noelcmn","Sarahkatx","Cheic D",0
"184","Katylbarnes","Saxes K","Griffinphoenixlove",0
"185","Faiza Hamdad","Selenoum","Vinakoko",0
"186","Sergelowe","Guojun Yang","Mwintirew",0
"187","Jude Fonchenalla","Shabanmasengesho","Johnolajide",0
"188","Anyasiisland","Shaimaa ali","NazaEvans",0
"189","Alvina Gachugu","Bigfootafrika","Sherif elmasry 2200",0
"190","Shisuwi","Thapelo6188","Koby DDT",0
"191","Mukhtarnuur","Sidnew","Ngarii",0
"192","Tanalanga","Nkghislain","Smrkrmll",0
"193","Raji kunle","Tarikhaldun","Oldblacker",0
"194","Olbaz","Sagir 737","Tarik hjjij",0
"195","SALIFOU","Teddy setegn","ⴱⵔⴳⵎⴰⵏ",0
"196","The fonz321","Sidneypwil","Jimiwriter",0
"197","Tupilike","Malelahpoet","Tifsihit",0
"198","Iken said","Andrew3as3as","Tonche mosidila",0
"199","ESmael Hassen","Yasser Elrasoul","Twiggalite",0
"200","Ann ugboaja","Ulrich legbanon","Alpharino",0
"201","Queen-Meries","UnaswiM","Albino Mahumana",0
"202","Vixphotoart","SAMIR.PROD","Joshua Agusiobo",0
"203","Hakatake","Vmathenjwa","Simonchihanga",0
"204","Vu Prod.","Akposdiete","Geowenzo",0
"205","Bissaya","PFavour","WalidYassine",0
"206","Tezzane","Jmjmngugi","Waltatekie",0
"207","IMbaliYamaMbatha","Wa Muchai","Umoz",0
"208","KittyjessyDee","Karim-elhoumaini","Wisaka",0
"209","Cris maine","Saintabdul06","Wodaj",0
"210","Sostoli","Wokxne","GeorgeMasila",0
"211","Woyne","Sisi la famille","Reda benkhadra",0
"212","Yahya ahdi","Benzemrane.hacene","Ladygeey",0
"213","Fasokan","Yassinouzay","Omeresansutherland",0
"214","Youssef toubri","Sara Nabih","Znnoubia",0
"215","DC Kush Tinny","Wal Liid BK","Zakaria Azzaz",0
"216","Moeketsi Mothebe","Samuel Debrah Adams","Ze3zat",0
"217","ZeeKay","Faphi","Hibaoppa12",0
"218","Bismarkodey","Amala nicci","Zhuyifei1999",0
"219","J Okunfolami","Zouhairswitzerland","Prince Yahaya Ibrahim Akapo",0
"220","Zraouti","Hamza El Maimouni","Elizabeth mabelya",0
"221","Mika.andrianoelison","Efe2000","ديفيد عادل وهبة خليل 2",0
"222","Lawkinjo","AliceW2017","Didierwiki",0.0330058415167436
"223","Guinivere Pedro","Yowamca","Amhat",0.0330058415167436
"224","Kwasi Danquah","Bongosibusiso1994","ANDREW KATUMBA",0.0330058415167436
"225","Ahmed Hagrasi","Appleslerp","SanDanceVR",0.0330058415167436
"226","Mrfrosh","Ephymbaya","Martick",0.0330058415167436
"227","Figuo82","Geertivp","Waceke kamau",0.0330058415167436
"228","Kofiadzamli","La suave de la jugeote","Likezzo",0.0330058415167436
"229","WebcIT","Brendakyo","SebEsteban",0.0330058415167436
"230","Yasmineziat","Sellanihalima","نورة ايت واحي",0.0330058415167436
"231","K15photos","Ahero dala","Zenman",0.0660116830334872
"232","Amandanyoni","FlickreviewR 2","Abdussamad yusuf",0.0660116830334872
"233","Fahdsayagh","Tewodros Kassa","Jacques CAVAILLON",0.0660116830334872
"234","Cheikhkoki","Metalldinger0th","Magicc0077",0.0660116830334872
"235","Mo son","Myfiles15","Afro75",0.0660116830334872
"236","TJ Maposhere","Waitabout","Olusola D, Ayibiowu",0.0660116830334872
"237","Mahdiazouzi","Ahmedoussou","Sarah Canbel",0.0990175245502307
"238","Als33120","Rafiki Theatre","Prosper Pérez",0.132023366066974
"239","Olashxs","Lane1146","M mousa 86",0.132023366066974
"240","Prillytee","Nizarkalech","Myraclera",0.165029207583718
"241","Abdulrhman Salem","HTwabi","Frankbonge",0.198035049100461
"242","Arch-Angel Raphael the Artist","Imani selemani Nsamila","Osalhi",0.264046732133949
"243","Yedidiamaureen","Kayiwa Allan Benjamin","Emmanuel Adiba",0.429075939717667
"244","Dyolf77","Pierre André Leclercq","Mustapha BRAHIM DJELLOUL",0.528093464267897
"245","Osama Awny","Mahyars","Gogeafrica",0.891157720952077
"246","Faintsmoke","Rberchie","Mohamed kamal 1984",1.35323950218649
"247","Erinamukuta","Kamara kolo rachelle","Ovva olfa",2.07936801555485
"248","Reda Kerbouche","Neverdie225","Kalungi Nathan",3.76266593290877
"249","Michaelill16","Ahmed Younis Sif","Babigumira09",4.19174187262644
"250",NA,"TOUMOU",NA,NA
