"","Control","Altruism","Competition","Max Distance"
"1","Mekonnen B.Gedefa","Abdelhalim oukazi","Macina1",0
"2","Abdourassoul","Mat Rumi","Medy georges",0
"3","Abel.assefa","Rachidkaabi","Wikibenja76",0
"4","Aiyeyonmi john lucky","HOTWATERSA","Abinami",0
"5","Lecatapilteur","Adeyemohb","Jynja",0
"6","Geffka","Jaiyeyonmis","Afph",0
"7","Agreementor","Lhilliey","Aikade G Nkini",0
"8","Kenyacharcoal","Thompson success","Ahmed Sroor",0
"9","Eric mwazo","Rebkabek","Ahmtv5",0
"10","Amine loua","Akly","Medbrokl ertement",0
"11","Require Images","Akomeya Dya","Laspallan",0
"12","Hendirad","Ndjwiki","Alchemmorses",0
"13","QuartierMozart","Alfredwilfried","Maja67",0
"14","Afraoui.yassine","Amada44","Opencooper",0
"15","Lanreal29","Agunghague","Amgadhgd",0
"16","Saraaahdz31","Hermance Koko","Amna Abdelrahman Elshandaweely",0
"17","NiiAdziri","AnasBL1999","Moseslondo",0
"18","Andreaambia","Abdellahkhaled","Mohamedazzi",0
"19","Nour jallouli","Anthemis15","Ttarimin",0
"20","Anutawfiqah","Gamaliel02","SUMAYIRE BOB",0
"21","Raulandkpr","Seb Eko","Arcyax",0
"22","Saindouk","ARD Mapoly","Magedmegoemad",0
"23","Armelneffala","Lorie queen","MoAfrica123",0
"24","Arnaud wilder","MoeSmarto","KolanutsKE",0
"25","Famacam","Bakbaloi","Artbermiss",0
"26","Vivideloquence","Artista Poetica","Zahrasaiid",0
"27","Dahmani amina","EdwardBerridge","Asylvon",0
"28","NDEFRU ANGWAFO","Atphalix","AmarinAfrica",0
"29","The Lexash","Lindamatsolo","Auchab",0
"30","Kako86","Urbankulca","Azhas",0
"31","Tecno Tune","Eric rakotomalala","Aziza Hassan",0
"32","Ntentema","Acetise","Bacimov Nefzi",0
"33","Bendekam","Rookiewealth01","Valisoaelisador",0
"34","Benlilkon93","TEAMWEMAPUPPETS","Conakry Fashion",0
"35","Bensombo","Abdelghafouri","Hiker1960",0
"36","Dannykitute","Binemarina","Farazmirzaagha",0
"37","Blackmysterieux","COULIBALY DRAMANE","Jym~frwiki",0
"38","Charlie25535","Been pop","Johnoye",0
"39","Christian Tido","Danslafrique","Pshegubj",0
"40","George Arthur-Badoo","Cîndy FelantsÖa","Bleh graphics",0
"41","Benita Nnachortam","Ramaenza","Clara Joseph",0
"42","Clementalline","Softpics","Fhadekhemmy",0
"43","Code jerry","Lomita","PKM",0
"44","Coolysnation","Sophiestolle","Herdrik Rodink",0
"45","Agness347","Bibimamia","Cynthia okundi",0
"46","Danny proff","Dauupicha","KABABARKABA kaba",0
"47","Crisalex37","Kelechizuvaa","David cheyo",0
"48","Abbeyfamily","Dettymind","Lanre oliyide",0
"49","Ssemujjubernard","Dissian","Chetanna",0
"50","Tmwatha","Bertrandguegaba","DistinctClothing",0
"51","Djonilerou","Sara.y","Unstoppable Jennie",0
"52","DoctorNigeria","Durati","Emmanuelmalish",0
"53","Aden Samos","DarwIn","Dossasyrine",0
"54","Mezoued ahlem","Douglassesa","WEMBE RAOUL",0
"55","Ikwetta","Douiri.akram","Dbmaginot",0
"56","Okeruona","Angeoceane","Drianbcross",0
"57","Drissmlds","Wissow photographe","AntonioK",0
